P_dominula	P_canadensis	Orthogroup	D_melanogaster	L_flavolineata	A_mellifera	P_canadensis_locusID	P_dominula_locusID
XP_026299933.1	XP_015190845.1	OG0003957	FBgn0038889	Lflavo2a014042	XP_014603287.1	NA	NA
XP_026299954.1	XP_015186217.1	OG0003958	FBgn0002917	Lflavo2a004972	XP_014615247.1	NA	NA
XP_026299979.1	XP_015173075.1	OG0003959	FBgn0034763	Lflavo2a001025	XP_014605987.1	NA	NA
XP_026300036.1	XP_015174674.1	OG0003960	FBgn0262955	Lflavo2a003016	XP_014603163.1	NA	NA
XP_026300050.1	XP_015184524.1	OG0003961	FBgn0037781	Lflavo2a004291	XP_014601829.1	NA	NA
XP_026300111.1	XP_015183481.1	OG0003963	FBgn0051005	Lflavo2a014321	XP_014616587.1	NA	NA
XP_026300141.1	XP_015173024.1	OG0003964	FBgn0027375	Lflavo2a006706	XP_014600665.1	NA	NA
XP_026300239.1	XP_015173180.1	OG0003966	FBgn0034529	Lflavo2a001083	XP_014605982.1	NA	NA
XP_026300395.1	XP_015189287.1	OG0003968	FBgn0026404	Lflavo2a009046	XP_014603676.1	NA	NA
XP_026300660.1	XP_015174823.1	OG0003974	FBgn0015801	Lflavo2a013673	XP_014603057.1	NA	NA
XP_026300709.1	XP_015176215.1	OG0003976	FBgn0035087	Lflavo2a012929	XP_014615245.1	NA	NA
XP_026300710.1	XP_015176974.1	OG0003977	FBgn0035141	Lflavo2a008526	XP_014599155.1	NA	NA
XP_026300713.1	XP_015177753.1	OG0003978	FBgn0262560	Lflavo2a011558	XP_014613946.1	NA	NA
XP_026300715.1	XP_015172192.1	OG0003979	FBgn0036565	Lflavo2a013094	XP_014598941.1	NA	NA
XP_026300717.1	XP_015186269.1	OG0003980	FBgn0011206	Lflavo2a006555	XP_014615214.1	NA	NA
XP_026300762.1	XP_015172035.1	OG0003982	FBgn0000482	Lflavo2a003375	XP_014607276.1	NA	NA
XP_026300791.1	XP_015185690.1	OG0003984	FBgn0037014	Lflavo2a010275	XP_014601319.1	NA	NA
XP_026300797.1	XP_015176973.1	OG0003985	FBgn0039634	Lflavo2a008600	XP_014599146.1	NA	NA
XP_026300802.1	XP_015174652.1	OG0003986	FBgn0050340	Lflavo2a003587	XP_014603032.1	NA	NA
XP_026300902.1	XP_015187837.1	OG0003990	FBgn0038107	Lflavo2a001078	XP_014602398.1	NA	NA
XP_026300923.1	XP_015179989.1	OG0003991	FBgn0036684	Lflavo2a001005	XP_014609788.1	NA	NA
XP_026301019.1	XP_015187917.1	OG0003994	FBgn0015524	Lflavo2a013875	XP_014608191.1	NA	NA
XP_026301084.1	XP_015182596.1	OG0003997	FBgn0033816	Lflavo2a005956	XP_014605192.1	NA	NA
XP_026301105.1	XP_015173286.1	OG0003999	FBgn0034887	Lflavo2a009587	XP_014606926.1	NA	NA
XP_026301194.1	XP_015174025.1	OG0004001	FBgn0002989	Lflavo2a005756	XP_014602566.1	NA	NA
XP_026301196.1	XP_015173240.1	OG0004002	FBgn0037411	Lflavo2a000354	XP_014599952.1	NA	NA
XP_026301212.1	XP_015189092.1	OG0004003	FBgn0038302	Lflavo2a008416	XP_014602279.1	NA	NA
XP_026301227.1	XP_015191543.1	OG0004004	FBgn0034893	Lflavo2a003038	XP_014610152.1	NA	NA
XP_026301242.1	XP_015176890.1	OG0004006	FBgn0262124	Lflavo2a011860	XP_014599258.1	NA	NA
XP_026301253.1	XP_015173982.1	OG0004007	FBgn0265351	Lflavo2a004484	XP_014602543.1	NA	NA
XP_026301423.1	XP_015182314.1	OG0004010	FBgn0022344	Lflavo2a005416	XP_014605257.1	NA	NA
XP_026301426.1	XP_015178559.1	OG0004011	FBgn0036428	Lflavo2a003033	XP_014600600.1	NA	NA
XP_026301518.1	XP_015183549.1	OG0004012	FBgn0033919	Lflavo2a002926	XP_014616239.1	NA	NA
XP_026301535.1	XP_015190391.1	OG0004014	FBgn0053172	Lflavo2a000044	XP_014614007.1	NA	NA
XP_026301725.1	XP_015174945.1	OG0004017	FBgn0031060	Lflavo2a011247	XP_014612189.1	NA	NA
XP_026301771.1	XP_015181476.1	OG0004023	FBgn0039663	Lflavo2a005729	XP_014605816.1	NA	NA
XP_026301836.1	XP_015180175.1	OG0004025	FBgn0038816	Lflavo2a004962	XP_014606799.1	NA	NA
XP_026301979.1	XP_015182321.1	OG0004027	FBgn0033983	Lflavo2a001468	XP_014601223.1	NA	NA
XP_026301992.1	XP_015187036.1	OG0004029	FBgn0035537	Lflavo2a010053	XP_014605722.1	NA	NA
XP_026301995.1	XP_015184318.1	OG0004030	FBgn0031634	Lflavo2a013441	XP_014614239.1	NA	NA
XP_026301996.1	XP_015184356.1	OG0004031	FBgn0037146	Lflavo2a010035	XP_014614252.1	NA	NA
XP_026302096.1	XP_015173411.1	OG0004032	FBgn0062449	Lflavo2a008417	XP_014613581.1	NA	NA
XP_026302100.1	XP_015178903.1	OG0004033	FBgn0002909	Lflavo2a003798	XP_014615402.1	NA	NA
XP_026302109.1	XP_015187997.1	OG0004034	FBgn0086707	Lflavo2a010702	XP_014599349.1	NA	NA
XP_026302270.1	XP_015186069.1	OG0004035	FBgn0037881	Lflavo2a003023	XP_014612881.1	NA	NA
XP_026302274.1	XP_015189524.1	OG0004036	FBgn0053138	Lflavo2a007516	XP_014602291.1	NA	NA
XP_026302301.1	XP_015184826.1	OG0004037	FBgn0034083	Lflavo2a013489	XP_014615194.1	NA	NA
XP_391818.3	XP_015185639.1	OG0004038	FBgn0005771	Lflavo2a001310	XP_014616139.1	NA	NA
XP_391898.1	XP_015182253.1	OG0004039	FBgn0039488	Lflavo2a011913	XP_014610964.1	NA	NA
XP_391922.2	XP_015178919.1	OG0004040	FBgn0004373	Lflavo2a014001	XP_014601775.1	NA	NA
XP_391948.3	XP_015171775.1	OG0004042	FBgn0030234	Lflavo2a012095	XP_014601675.1	NA	NA
XP_391963.3	XP_015180757.1	OG0004044	FBgn0034921	Lflavo2a005928	XP_014607601.1	NA	NA
XP_391986.4	XP_015183391.1	OG0004045	FBgn0034528	Lflavo2a000508	XP_014616545.1	NA	NA
XP_392111.2	XP_015174225.1	OG0004048	FBgn0035811	Lflavo2a000238	XP_014611092.1	NA	NA
XP_392181.4	XP_015178275.1	OG0004049	FBgn0051344	Lflavo2a011330	XP_014609487.1	NA	NA
XP_392248.5	XP_015171183.1	OG0004050	FBgn0039210	Lflavo2a001267	XP_014611935.1	NA	NA
XP_392277.4	XP_015173756.1	OG0004051	FBgn0033717	Lflavo2a005933	XP_014599931.1	NA	NA
XP_392371.3	XP_015172087.1	OG0004053	FBgn0031868	Lflavo2a004547	XP_014610279.1	NA	NA
XP_392419.3	XP_015191707.1	OG0004054	FBgn0268063	Lflavo2a000120	XP_014602168.1	NA	NA
XP_392464.3	XP_015181631.1	OG0004055	FBgn0038641	Lflavo2a007764	XP_014603487.1	NA	NA
XP_392494.1	XP_015180044.1	OG0004056	FBgn0029830	Lflavo2a000200	XP_014608082.1	NA	NA
XP_392512.3	XP_015179061.1	OG0004057	FBgn0065035	Lflavo2a013427	XP_014603394.1	NA	NA
XP_392586.4	XP_015174042.1	OG0004059	FBgn0022800	Lflavo2a002271	XP_014605489.1	NA	NA
XP_392602.4	XP_015186366.1	OG0004061	FBgn0058470	Lflavo2a002369	XP_014614320.1	NA	NA
XP_392611.4	XP_015184292.1	OG0004062	FBgn0042134	Lflavo2a001237	XP_014613315.1	NA	NA
XP_392655.2	XP_015176029.1	OG0004063	FBgn0037637	Lflavo2a007458	XP_014598337.1	NA	NA
XP_392684.3	XP_015191178.1	OG0004065	FBgn0035964	Lflavo2a009590	XP_014610158.1	NA	NA
XP_392710.3	XP_015183696.1	OG0004066	FBgn0038593	Lflavo2a001906	XP_014608019.1	NA	NA
XP_392754.3	XP_015185756.1	OG0004067	FBgn0039056	Lflavo2a012743	XP_014601411.1	NA	NA
XP_392759.3	XP_015184336.1	OG0004068	FBgn0025878	Lflavo2a008696	XP_014613905.1	NA	NA
XP_392823.3	XP_015176687.1	OG0004070	FBgn0053158	Lflavo2a012290	XP_014600269.1	NA	NA
XP_392932.3	XP_015177701.1	OG0004072	FBgn0035232	Lflavo2a009202	XP_014600390.1	NA	NA
XP_392968.2	XP_015183054.1	OG0004073	FBgn0287182	Lflavo2a008018	XP_014597750.1	NA	NA
XP_393021.4	XP_015184187.1	OG0004075	FBgn0032886	Lflavo2a004588	XP_014603771.1	NA	NA
XP_393034.1	XP_015189826.1	OG0004076	FBgn0014026	Lflavo2a010933	XP_014608219.1	NA	NA
XP_393050.2	XP_015182986.1	OG0004077	FBgn0024889	Lflavo2a006087	XP_014611534.1	NA	NA
XP_393072.2	XP_015184284.1	OG0004078	FBgn0011715	Lflavo2a001223	XP_014613324.1	NA	NA
XP_393116.2	XP_015172342.1	OG0004079	FBgn0036545	Lflavo2a005620	XP_014602740.1	NA	NA
XP_393145.3	XP_015171971.1	OG0004080	FBgn0037382	Lflavo2a007538	XP_014606910.1	NA	NA
XP_393186.1	XP_015184357.1	OG0004081	FBgn0036733	Lflavo2a010021	XP_014614253.1	NA	NA
XP_393194.2	XP_015187562.1	OG0004082	FBgn0086683	Lflavo2a006898	XP_014599355.1	NA	NA
XP_393264.2	XP_015185397.1	OG0004086	FBgn0259242	Lflavo2a005452	XP_014613661.1	NA	NA
XP_393418.3	XP_015174106.1	OG0004087	FBgn0031174	Lflavo2a013335	XP_014602569.1	NA	NA
XP_393446.1	XP_015174912.1	OG0004088	FBgn0038666	Lflavo2a005918	XP_014603242.1	NA	NA
XP_393448.2	XP_015185883.1	OG0004089	FBgn0028400	Lflavo2a010895	XP_014611182.1	NA	NA
XP_393453.3	XP_015190188.1	OG0004090	FBgn0027621	Lflavo2a008937	XP_014602252.1	NA	NA
XP_393467.3	XP_015172465.1	OG0004091	FBgn0031070	Lflavo2a007446	XP_014598983.1	NA	NA
XP_393473.1	XP_015179652.1	OG0004092	FBgn0051855	Lflavo2a005415	XP_014607051.1	NA	NA
XP_393495.3	XP_015185019.1	OG0004094	FBgn0016031	Lflavo2a009245	XP_014614403.1	NA	NA
XP_393516.3	XP_015189369.1	OG0004095	FBgn0024509	Lflavo2a001955	XP_014600036.1	NA	NA
XP_393545.2	XP_015183663.1	OG0004096	FBgn0261955	Lflavo2a009753	XP_014607925.1	NA	NA
XP_393553.4	XP_015182439.1	OG0004097	FBgn0033095	Lflavo2a013271	XP_014611486.1	NA	NA
XP_393604.4	XP_015176384.1	OG0004098	FBgn0035867	Lflavo2a001408	XP_014611399.1	NA	NA
XP_393743.4	XP_015190481.1	OG0004099	FBgn0259704	Lflavo2a005398	XP_014608218.1	NA	NA
XP_393761.1	XP_015182751.1	OG0004100	FBgn0020255	Lflavo2a011543	XP_014608708.1	NA	NA
XP_393796.4	XP_015191231.1	OG0004102	FBgn0040080	Lflavo2a012533	XP_014615149.1	NA	NA
XP_393820.4	XP_015189163.1	OG0004103	FBgn0037008	Lflavo2a010466	XP_014606078.1	NA	NA
XP_393837.4	XP_015180775.1	OG0004104	FBgn0037026	Lflavo2a013928	XP_014601789.1	NA	NA
XP_393867.2	XP_015178724.1	OG0004105	FBgn0031536	Lflavo2a000440	XP_014601475.1	NA	NA
XP_393870.2	XP_015173213.1	OG0004106	FBgn0003559	Lflavo2a010629	XP_014600673.1	NA	NA
XP_393885.1	XP_015181173.1	OG0004107	FBgn0010383	Lflavo2a009033	XP_014611899.1	NA	NA
XP_393890.1	XP_015188755.1	OG0004108	FBgn0031540	Lflavo2a012061	XP_014598921.1	NA	NA
XP_393894.1	XP_015181165.1	OG0004109	FBgn0039566	Lflavo2a000569	XP_014604091.1	NA	NA
XP_393949.2	XP_015180612.1	OG0004110	FBgn0011509	Lflavo2a012015	XP_014604542.1	NA	NA
XP_393961.3	XP_015180262.1	OG0004111	FBgn0038467	Lflavo2a002709	XP_014601783.1	NA	NA
XP_394163.3	XP_015176176.1	OG0004114	FBgn0011259	Lflavo2a002417	XP_014598336.1	NA	NA
XP_394217.1	XP_015185951.1	OG0004115	FBgn0263776	Lflavo2a010126	XP_014610331.1	NA	NA
XP_394245.2	XP_015185190.1	OG0004116	FBgn0261243	Lflavo2a002339	XP_014604170.1	NA	NA
XP_394292.3	XP_015178349.1	OG0004118	FBgn0033762	Lflavo2a013950	XP_014610471.1	NA	NA
XP_394353.3	XP_015173786.1	OG0004119	FBgn0031217	Lflavo2a000743	XP_014599856.1	NA	NA
XP_394417.5	XP_015173796.1	OG0004120	FBgn0034735	Lflavo2a005262	XP_014604629.1	NA	NA
XP_394484.1	XP_015179540.1	OG0004121	FBgn0001123	Lflavo2a005294	XP_014611039.1	NA	NA
XP_394516.2	XP_015183256.1	OG0004122	FBgn0038578	Lflavo2a007185	XP_014616863.1	NA	NA
XP_394546.3	XP_015188099.1	OG0004123	FBgn0032691	Lflavo2a006467	XP_014613335.1	NA	NA
XP_394555.2	XP_015179257.1	OG0004124	FBgn0038950	Lflavo2a006174	XP_014605021.1	NA	NA
XP_394579.2	XP_015172015.1	OG0004125	FBgn0039156	Lflavo2a004569	XP_014610276.1	NA	NA
XP_394637.2	XP_015176617.1	OG0004127	FBgn0031020	Lflavo2a014112	XP_014598724.1	NA	NA
XP_394692.3	XP_015188461.1	OG0004128	FBgn0024998	Lflavo2a002295	XP_014600280.1	NA	NA
XP_394718.3	XP_015190345.1	OG0004129	FBgn0031216	Lflavo2a010898	XP_014606406.1	NA	NA
XP_394722.5	XP_015184708.1	OG0004130	FBgn0029693	Lflavo2a006596	XP_014598576.1	NA	NA
XP_394770.5	XP_015183674.1	OG0004131	FBgn0000659	Lflavo2a012277	XP_014607804.1	NA	NA
XP_394838.3	XP_015180453.1	OG0004132	FBgn0039137	Lflavo2a004574	XP_014604912.1	NA	NA
XP_394893.3	XP_015174375.1	OG0004134	FBgn0039747	Lflavo2a007502	XP_014609196.1	NA	NA
XP_394925.4	XP_015178058.1	OG0004136	FBgn0037549	Lflavo2a007117	XP_014609881.1	NA	NA
XP_395004.3	XP_015176495.1	OG0004137	FBgn0037756	Lflavo2a011740	XP_014611426.1	NA	NA
XP_395082.4	XP_015171245.1	OG0004138	FBgn0003977	Lflavo2a008836	XP_014606532.1	NA	NA
XP_395146.3	XP_015174243.1	OG0004139	FBgn0011739	Lflavo2a007402	XP_014614132.1	NA	NA
XP_395153.3	XP_015174901.1	OG0004140	FBgn0039890	Lflavo2a011828	XP_014607275.1	NA	NA
XP_395179.2	XP_015186108.1	OG0004141	FBgn0261383	Lflavo2a008341	XP_014614216.1	NA	NA
XP_395210.2	XP_015174074.1	OG0004142	FBgn0022724	Lflavo2a004394	XP_014602567.1	NA	NA
XP_395256.3	XP_015174670.1	OG0004145	FBgn0250753	Lflavo2a005985	XP_014603187.1	NA	NA
XP_395260.2	XP_015185833.1	OG0004146	FBgn0036292	Lflavo2a003513	XP_014612584.1	NA	NA
XP_395282.2	XP_015181658.1	OG0004147	FBgn0031972	Lflavo2a011809	XP_014601169.1	NA	NA
XP_395323.2	XP_015187472.1	OG0004148	FBgn0039274	Lflavo2a012176	XP_014614769.1	NA	NA
XP_395332.2	XP_015180909.1	OG0004149	FBgn0022213	Lflavo2a004794	XP_014616115.1	NA	NA
XP_395373.3	XP_015173735.1	OG0004151	FBgn0003444	Lflavo2a012800	XP_014599867.1	NA	NA
XP_395400.7	XP_015174755.1	OG0004152	FBgn0259742	Lflavo2a007201	XP_014603054.1	NA	NA
XP_395404.2	XP_015181592.1	OG0004153	FBgn0002778	Lflavo2a006069	XP_014601097.1	NA	NA
XP_395421.4	XP_015179946.1	OG0004155	FBgn0010770	Lflavo2a006561	XP_014604258.1	NA	NA
XP_395476.1	XP_015190957.1	OG0004156	FBgn0261109	Lflavo2a010251	XP_014609467.1	NA	NA
XP_395502.2	XP_015188078.1	OG0004157	FBgn0266671	Lflavo2a012797	XP_014610420.1	NA	NA
XP_395614.3	XP_015186103.1	OG0004160	FBgn0039562	Lflavo2a012086	XP_014608287.1	NA	NA
XP_395618.4	XP_015183761.1	OG0004161	FBgn0039252	Lflavo2a011283	XP_014607815.1	NA	NA
XP_395619.4	XP_015177371.1	OG0004162	FBgn0031773	Lflavo2a009335	XP_014616275.1	NA	NA
XP_395658.5	XP_015190492.1	OG0004163	FBgn0031538	Lflavo2a011671	XP_014607475.1	NA	NA
XP_395724.2	XP_015176083.1	OG0004164	FBgn0001202	Lflavo2a009748	XP_014615859.1	NA	NA
XP_395757.3	XP_015177759.1	OG0004165	FBgn0013799	Lflavo2a011518	XP_014613947.1	NA	NA
XP_395780.4	XP_015182619.1	OG0004167	FBgn0030318	Lflavo2a014339	XP_014605157.1	NA	NA
XP_395784.2	XP_015177004.1	OG0004168	FBgn0034936	Lflavo2a011423	XP_014606894.1	NA	NA
XP_395792.4	XP_015187790.1	OG0004169	FBgn0035437	Lflavo2a001588	XP_014602374.1	NA	NA
XP_395851.2	XP_015181069.1	OG0004170	FBgn0259979	Lflavo2a003223	XP_014609641.1	NA	NA
XP_395892.2	XP_015174424.1	OG0004171	FBgn0038524	Lflavo2a006140	XP_014604977.1	NA	NA
XP_395916.5	XP_015177622.1	OG0004172	FBgn0034418	Lflavo2a012747	XP_014616962.1	NA	NA
XP_395921.4	XP_015182699.1	OG0004173	FBgn0010660	Lflavo2a002071	XP_014609179.1	NA	NA
XP_395929.2	XP_015191632.1	OG0004174	FBgn0013548	Lflavo2a005934	XP_014601074.1	NA	NA
XP_395981.2	XP_015174854.1	OG0004175	FBgn0025678	Lflavo2a000223	XP_014607236.1	NA	NA
XP_396003.4	XP_015176455.1	OG0004176	FBgn0037709	Lflavo2a010393	XP_014613832.1	NA	NA
XP_396024.6	XP_015189575.1	OG0004177	FBgn0039827	Lflavo2a004154	XP_014598889.1	NA	NA
XP_396039.6	XP_015191343.1	OG0004178	FBgn0034939	Lflavo2a009235	XP_014615132.1	NA	NA
XP_396085.3	XP_015179933.1	OG0004179	FBgn0027562	Lflavo2a004610	XP_014615694.1	NA	NA
XP_396194.3	XP_015173538.1	OG0004180	FBgn0027582	Lflavo2a004067	XP_014602524.1	NA	NA
XP_396284.2	XP_015189137.1	OG0004182	FBgn0027783	Lflavo2a007066	XP_014608823.1	NA	NA
XP_396375.5	XP_015187237.1	OG0004183	FBgn0004574	Lflavo2a005081	XP_014608466.1	NA	NA
XP_396462.2	XP_015190932.1	OG0004184	FBgn0031497	Lflavo2a010387	XP_014609481.1	NA	NA
XP_396465.2	XP_015184521.1	OG0004185	FBgn0047038	Lflavo2a010787	XP_014599308.1	NA	NA
XP_396491.1	XP_015183376.1	OG0004186	FBgn0035538	Lflavo2a002943	XP_014609329.1	NA	NA
XP_396502.5	XP_015181914.1	OG0004187	FBgn0035760	Lflavo2a001487	XP_014609064.1	NA	NA
XP_396690.2	XP_015191780.1	OG0004188	FBgn0037297	Lflavo2a003966	XP_014616659.1	NA	NA
XP_396696.4	XP_015171506.1	OG0004189	FBgn0034214	Lflavo2a000304	XP_014600839.1	NA	NA
XP_396750.5	XP_015181000.1	OG0004190	FBgn0031815	Lflavo2a001391	XP_014599784.1	NA	NA
XP_396781.2	XP_015172222.1	OG0004191	FBgn0036402	Lflavo2a005605	XP_014613646.1	NA	NA
XP_396855.2	XP_015171073.1	OG0004193	FBgn0027506	Lflavo2a011956	XP_014603993.1	NA	NA
XP_396937.4	XP_015190437.1	OG0004195	FBgn0086657	Lflavo2a005198	XP_014609133.1	NA	NA
XP_396963.2	XP_015181042.1	OG0004197	FBgn0035754	Lflavo2a012910	XP_014604906.1	NA	NA
XP_396966.2	XP_015180906.1	OG0004198	FBgn0038927	Lflavo2a001702	XP_014616089.1	NA	NA
XP_397014.4	XP_015182634.1	OG0004200	FBgn0000139	Lflavo2a001860	XP_014610484.1	NA	NA
XP_397030.3	XP_015175462.1	OG0004201	FBgn0010292	Lflavo2a007274	XP_014609919.1	NA	NA
XP_397094.2	XP_015182187.1	OG0004204	FBgn0036888	Lflavo2a013576	XP_014598653.1	NA	NA
XP_397101.4	XP_015180808.1	OG0004205	FBgn0052344	Lflavo2a014257	XP_014601777.1	NA	NA
XP_397129.4	XP_015172040.1	OG0004206	FBgn0028402	Lflavo2a003408	XP_014607300.1	NA	NA
XP_397181.1	XP_015178113.1	OG0004207	FBgn0016917	Lflavo2a005997	XP_014609493.1	NA	NA
XP_397221.5	XP_015186480.1	OG0004208	FBgn0031850	Lflavo2a007684	XP_014604332.1	NA	NA
XP_397232.1	XP_015179782.1	OG0004209	FBgn0000581	Lflavo2a003673	XP_014603913.1	NA	NA
XP_397241.4	XP_015182901.1	OG0004210	FBgn0037949	Lflavo2a004627	XP_014603727.1	NA	NA
XP_397283.1	XP_015180126.1	OG0004212	FBgn0051121	Lflavo2a008250	XP_014606882.1	NA	NA
XP_397291.2	XP_015176076.1	OG0004213	FBgn0024945	Lflavo2a006418	XP_014611654.1	NA	NA
XP_397293.3	XP_015183568.1	OG0004214	FBgn0015360	Lflavo2a002432	XP_014598556.1	NA	NA
XP_397317.2	XP_015175061.1	OG0004215	FBgn0260779	Lflavo2a011725	XP_014602815.1	NA	NA
XP_397413.3	XP_015171688.1	OG0004216	FBgn0039928	Lflavo2a009447	XP_014600799.1	NA	NA
XP_397416.4	XP_015173319.1	OG0004217	FBgn0267488	Lflavo2a003713	XP_014602109.1	NA	NA
XP_397479.5	XP_015178060.1	OG0004218	FBgn0035577	Lflavo2a007995	XP_014609879.1	NA	NA
XP_623081.1	XP_015183502.1	OG0004219	FBgn0037609	Lflavo2a000710	XP_014616576.1	NA	NA
XP_623134.1	XP_015187947.1	OG0004220	FBgn0034058	Lflavo2a002340	XP_014606185.1	NA	NA
XP_623198.1	XP_015173718.1	OG0004221	FBgn0025725	Lflavo2a000739	XP_014604551.1	NA	NA
XP_623206.1	XP_015172765.1	OG0004222	FBgn0033341	Lflavo2a007263	XP_014615992.1	NA	NA
XP_623289.1	XP_015187519.1	OG0004225	FBgn0086895	Lflavo2a007793	XP_014613576.1	NA	NA
XP_623366.2	XP_015173361.1	OG0004226	FBgn0026761	Lflavo2a004227	XP_014600537.1	NA	NA
XP_623445.3	XP_015187731.1	OG0004227	FBgn0033558	Lflavo2a008228	XP_014599516.1	NA	NA
XP_623480.1	XP_015179632.1	OG0004228	FBgn0017567	Lflavo2a006778	XP_014607033.1	NA	NA
XP_623527.1	XP_015187950.1	OG0004229	FBgn0015282	Lflavo2a010184	XP_014606201.1	NA	NA
XP_623670.3	XP_015190875.1	OG0004230	FBgn0032864	Lflavo2a006241	XP_014600577.1	NA	NA
XP_623673.3	XP_015171673.1	OG0004231	FBgn0001248	Lflavo2a005779	XP_014600787.1	NA	NA
XP_623717.4	XP_015187186.1	OG0004232	FBgn0028434	Lflavo2a005748	XP_014608426.1	NA	NA
XP_623723.2	XP_015173964.1	OG0004233	FBgn0261341	Lflavo2a005652	XP_014599779.1	NA	NA
XP_623749.3	XP_015172605.1	OG0004235	FBgn0039907	Lflavo2a000997	XP_014609600.1	NA	NA
XP_623764.2	XP_015182988.1	OG0004236	FBgn0025360	Lflavo2a001577	XP_014610647.1	NA	NA
XP_623797.2	XP_015183806.1	OG0004238	FBgn0031040	Lflavo2a010704	XP_014606215.1	NA	NA
XP_623809.3	XP_015187975.1	OG0004239	FBgn0034232	Lflavo2a008120	XP_014610434.1	NA	NA
XP_623880.1	XP_015184756.1	OG0004240	FBgn0027090	Lflavo2a008893	XP_014606165.1	NA	NA
XP_623891.2	XP_015191514.1	OG0004241	FBgn0036828	Lflavo2a000065	XP_014609028.1	NA	NA
XP_623921.1	XP_015181200.1	OG0004242	FBgn0283494	Lflavo2a002579	XP_014604145.1	NA	NA
XP_623933.1	XP_015185311.1	OG0004243	FBgn0261274	Lflavo2a004488	XP_014605695.1	NA	NA
XP_624008.2	XP_015189007.1	OG0004245	FBgn0003464	Lflavo2a007861	XP_014613602.1	NA	NA
XP_624023.2	XP_015175461.1	OG0004246	FBgn0027086	Lflavo2a007248	XP_014597773.1	NA	NA
XP_624047.2	XP_015189120.1	OG0004247	FBgn0035148	Lflavo2a004554	XP_014612638.1	NA	NA
XP_624053.4	XP_015181675.1	OG0004248	FBgn0038163	Lflavo2a007767	XP_014603469.1	NA	NA
XP_624074.1	XP_015182138.1	OG0004249	FBgn0036685	Lflavo2a008877	XP_014601636.1	NA	NA
XP_624093.3	XP_015176222.1	OG0004250	FBgn0030499	Lflavo2a012904	XP_014598328.1	NA	NA
XP_624227.2	XP_015184918.1	OG0004253	FBgn0052068	Lflavo2a012008	XP_014613858.1	NA	NA
XP_624231.2	XP_015175945.1	OG0004254	FBgn0284252	Lflavo2a007076	XP_014604021.1	NA	NA
XP_624256.1	XP_015184820.1	OG0004255	FBgn0010265	Lflavo2a012981	XP_014598569.1	NA	NA
XP_624261.3	XP_015183013.1	OG0004256	FBgn0010786	Lflavo2a001628	XP_014610652.1	NA	NA
XP_624277.2	XP_015176116.1	OG0004257	FBgn0030739	Lflavo2a012899	XP_014598250.1	NA	NA
XP_624307.2	XP_015180813.1	OG0004258	FBgn0033526	Lflavo2a013007	XP_014613412.1	NA	NA
XP_624325.2	XP_015171461.1	OG0004259	FBgn0035374	Lflavo2a010196	XP_014616010.1	NA	NA
XP_624349.1	XP_015177118.1	OG0004260	FBgn0259749	Lflavo2a004767	XP_014608758.1	NA	NA
XP_624357.1	XP_015187270.1	OG0004261	FBgn0025682	Lflavo2a005433	XP_014598472.1	NA	NA
XP_624358.1	XP_015187560.1	OG0004262	FBgn0035401	Lflavo2a006970	XP_014599354.1	NA	NA
XP_624378.1	XP_015188010.1	OG0004263	FBgn0003062	Lflavo2a001600	XP_014602333.1	NA	NA
XP_624393.1	XP_015190357.1	OG0004264	FBgn0023542	Lflavo2a008825	XP_014602299.1	NA	NA
XP_624430.3	XP_015175073.1	OG0004266	FBgn0034253	Lflavo2a000244	XP_014602800.1	NA	NA
XP_624483.4	XP_015187879.1	OG0004268	FBgn0029835	Lflavo2a006908	XP_014614064.1	NA	NA
XP_624513.2	XP_015187447.1	OG0004269	FBgn0286198	Lflavo2a008514	XP_014612009.1	NA	NA
XP_624521.1	XP_015181376.1	OG0004270	FBgn0030421	Lflavo2a006746	XP_014601633.1	NA	NA
XP_624533.1	XP_015187470.1	OG0004271	FBgn0030990	Lflavo2a005382	XP_014613577.1	NA	NA
XP_624553.4	XP_015191144.1	OG0004272	FBgn0036386	Lflavo2a005048	XP_014613752.1	NA	NA
XP_624578.2	XP_015190934.1	OG0004273	FBgn0030365	Lflavo2a003454	XP_014609464.1	NA	NA
XP_624647.1	XP_015174656.1	OG0004274	FBgn0037009	Lflavo2a003643	XP_014603090.1	NA	NA
XP_624698.2	XP_015181502.1	OG0004275	FBgn0263216	Lflavo2a000159	XP_014601540.1	NA	NA
XP_624722.1	XP_015185306.1	OG0004278	FBgn0286783	Lflavo2a001498	XP_014605730.1	NA	NA
XP_624764.3	XP_015187385.1	OG0004279	FBgn0031676	Lflavo2a011009	XP_014613624.1	NA	NA
XP_624796.2	XP_015174711.1	OG0004280	FBgn0014380	Lflavo2a001835	XP_014603038.1	NA	NA
XP_624815.2	XP_015181340.1	OG0004281	FBgn0038597	Lflavo2a003167	XP_014610354.1	NA	NA
XP_624819.1	XP_015184684.1	OG0004282	FBgn0036039	Lflavo2a002450	XP_014598560.1	NA	NA
XP_624849.1	XP_015171609.1	OG0004283	FBgn0020620	Lflavo2a002522	XP_014600722.1	NA	NA
XP_624865.3	XP_015191506.1	OG0004284	FBgn0035146	Lflavo2a001703	XP_014615122.1	NA	NA
XP_624869.1	XP_015179703.1	OG0004285	FBgn0030976	Lflavo2a007292	XP_014603940.1	NA	NA
XP_624872.2	XP_015184766.1	OG0004286	FBgn0031069	Lflavo2a003715	XP_014604987.1	NA	NA
