Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
OG0003975	Caust.v2_003622	gene-LOC108632360	gene-LOC117224372	gene-LOC106788313	gene-LOC107064815	Lflavo2a000273
OG0003976	Caust.v2_009532	gene-LOC108630925	gene-LOC117220560	gene-LOC106784233	gene-LOC107064254	Lflavo2a007692
OG0003977	Caust.v2_008369	gene-LOC108631380	gene-LOC117217771	gene-LOC106791864	gene-LOC107070520	Lflavo2a001223
OG0003978	Caust.v2_009532	gene-LOC108628771	gene-LOC117218233	gene-LOC106788170	gene-LOC107074614	Lflavo2a000625
OG0003979	Caust.v2_021510	gene-LOC108628769	gene-LOC117218230	gene-LOC106788169	gene-LOC107074546	Lflavo2a000645
OG0003980	Caust.v2_004091	gene-LOC108632572	gene-LOC117226337	gene-LOC106786155	gene-LOC107064309	Lflavo2a005620
OG0003981	Caust.v2_002549	gene-LOC108625984	gene-LOC117227795	gene-LOC106784397	gene-LOC107072288	Lflavo2a006898
OG0003983	Caust.v2_009532	gene-LOC108632319	gene-LOC117222776	gene-LOC106783963	gene-LOC107070142	Lflavo2a002441
OG0003984	Caust.v2_021587	gene-LOC108628340	gene-LOC117225126	gene-LOC106789235	gene-LOC107073824	Lflavo2a010658
OG0003985	Caust.v2_009532	gene-LOC108621991	gene-LOC117224575	gene-LOC106784201	gene-LOC107064351	Lflavo2a007446
OG0003986	Caust.v2_008589	gene-LOC108632572	gene-LOC117226751	gene-LOC106790418	gene-LOC107073086	Lflavo2a001268
OG0003987	Caust.v2_003546	gene-LOC108632440	gene-LOC117217655	gene-LOC106790824	gene-LOC107069546	Lflavo2a013271
OG0003988	Caust.v2_009532	gene-LOC108622646	gene-LOC117220393	gene-LOC106790811	gene-LOC107069564	Lflavo2a011246
OG0003989	Caust.v2_006175	gene-LOC108622877	gene-LOC117228703	gene-LOC106786225	gene-LOC107073824	Lflavo2a001615
OG0003990	Caust.v2_001005	gene-LOC108625123	gene-LOC117225383	gene-LOC106788967	gene-LOC107073990	Lflavo2a005398
OG0003991	Caust.v2_003132	gene-LOC108622729	gene-LOC117225510	gene-LOC106793056	gene-LOC107074374	Lflavo2a012533
OG0003992	Caust.v2_002847	gene-LOC108632572	gene-LOC117230035	gene-LOC106787868	gene-LOC107073169	Lflavo2a010466
OG0003993	Caust.v2_015828	gene-LOC108623500	gene-LOC117222446	gene-LOC106785475	gene-LOC107067591	Lflavo2a000440
OG0003994	Caust.v2_014162	gene-LOC108632572	gene-LOC117225785	gene-LOC106785048	gene-LOC107064720	Lflavo2a010629
OG0003995	Caust.v2_004729	gene-LOC108632572	gene-LOC117227731	gene-LOC106791057	gene-LOC107068865	Lflavo2a009033
OG0003996	Caust.v2_007840	gene-LOC108629760	gene-LOC117226586	gene-LOC106787040	gene-LOC107068598	Lflavo2a001851
OG0003997	Caust.v2_004109	gene-LOC108627888	gene-LOC117226417	gene-LOC106784173	gene-LOC107071240	Lflavo2a003902
OG0003998	Caust.v2_007791	gene-LOC108627844	gene-LOC117226462	gene-LOC106784173	gene-LOC107066863	Lflavo2a012402
OG0003999	Caust.v2_015026	gene-LOC108622444	gene-LOC117227634	gene-LOC106790639	gene-LOC107071420	Lflavo2a002794
OG0004000	Caust.v2_015539	gene-LOC108627328	gene-LOC117229591	gene-LOC106789653	gene-LOC107071983	Lflavo2a013595
OG0004001	Caust.v2_006337	gene-LOC108625404	gene-LOC117218050	gene-LOC106788926	gene-LOC107068800	Lflavo2a007068
OG0004002	Caust.v2_009532	gene-LOC108623734	gene-LOC117226544	gene-LOC106790564	gene-LOC107068052	Lflavo2a005294
OG0004003	Caust.v2_014277	gene-LOC108623639	gene-LOC117226617	gene-LOC106794010	gene-LOC107069991	Lflavo2a007185
OG0004004	Caust.v2_004338	gene-LOC108624681	gene-LOC117219358	gene-LOC106791871	gene-LOC107072569	Lflavo2a006467
OG0004005	Caust.v2_010686	gene-LOC108629666	gene-LOC117221682	gene-LOC106784848	gene-LOC107072778	Lflavo2a002295
OG0004006	Caust.v2_008524	gene-LOC108628296	gene-LOC117226586	gene-LOC106784090	gene-LOC107069198	Lflavo2a009613
OG0004007	Caust.v2_009182	gene-LOC108630981	gene-LOC117221309	gene-LOC106784173	gene-LOC107064371	Lflavo2a012255
OG0004008	Caust.v2_020013	gene-LOC108632572	gene-LOC117222340	gene-LOC106789484	gene-LOC107065308	Lflavo2a007502
OG0004011	Caust.v2_002400	gene-LOC108630607	gene-LOC117219546	gene-LOC106786067	gene-LOC107065151	Lflavo2a004394
OG0004012	Caust.v2_002267	gene-LOC108623931	gene-LOC117220690	gene-LOC106786386	gene-LOC107065465	Lflavo2a005985
OG0004013	Caust.v2_010339	gene-LOC108632572	gene-LOC117226888	gene-LOC106792771	gene-LOC107072227	Lflavo2a012176
OG0004014	Caust.v2_004802	gene-LOC108632572	gene-LOC117217899	gene-LOC106786272	gene-LOC107065635	Lflavo2a010571
OG0004015	Caust.v2_006014	gene-LOC108632572	gene-LOC117217417	gene-LOC106792170	gene-LOC107070889	Lflavo2a005713
OG0004016	Caust.v2_000102	gene-LOC108623478	gene-LOC117229254	gene-LOC106784630	gene-LOC107064997	Lflavo2a012800
OG0004017	Caust.v2_009532	gene-LOC108626468	gene-LOC117222709	gene-LOC106784906	gene-LOC107067869	Lflavo2a009226
OG0004018	Caust.v2_010349	gene-LOC108623356	gene-LOC117226923	gene-LOC106789013	gene-LOC107071544	Lflavo2a012086
OG0004019	Caust.v2_008268	gene-LOC108631497	gene-LOC117226586	gene-LOC106786150	gene-LOC107068943	Lflavo2a007025
OG0004020	Caust.v2_018188	gene-LOC108628037	gene-LOC117226586	gene-LOC106792566	gene-LOC107070733	Lflavo2a000403
OG0004021	Caust.v2_008660	gene-LOC108626904	gene-LOC117228459	gene-LOC106793444	gene-LOC107066200	Lflavo2a009748
OG0004022	Caust.v2_017283	gene-LOC113464696	gene-LOC117225932	gene-LOC106792214	gene-LOC107067080	Lflavo2a011518
OG0004023	Caust.v2_002744	gene-LOC108625322	gene-LOC117220525	gene-LOC106789473	gene-LOC107069699	Lflavo2a002071
OG0004024	Caust.v2_011870	gene-LOC108631840	gene-LOC117227781	gene-LOC106783740	gene-LOC107073824	Lflavo2a013337
OG0004025	Caust.v2_004362	gene-LOC108624648	gene-LOC117221277	gene-LOC106792148	gene-LOC107066393	Lflavo2a010393
OG0004026	Caust.v2_007132	gene-LOC108632091	gene-LOC117223329	gene-LOC106784155	gene-LOC107073443	Lflavo2a004154
OG0004027	Caust.v2_003309	gene-LOC108629971	gene-LOC117226586	gene-LOC106793345	gene-LOC107068238	Lflavo2a004610
OG0004028	Caust.v2_014618	gene-LOC108624561	gene-LOC117225750	gene-LOC106793175	gene-LOC107073824	Lflavo2a006367
OG0004029	Caust.v2_014961	gene-LOC108631561	gene-LOC117220754	gene-LOC106784173	gene-LOC107072157	Lflavo2a011734
OG0004030	Caust.v2_019660	gene-LOC108629989	gene-LOC117218439	gene-LOC106789541	gene-LOC107070051	Lflavo2a002943
OG0004031	Caust.v2_006963	gene-LOC108630374	gene-LOC117224580	gene-LOC106793895	gene-LOC107074652	Lflavo2a003966
OG0004032	Caust.v2_002558	gene-LOC108622493	gene-LOC117218156	gene-LOC106785151	gene-LOC107063879	Lflavo2a000304
OG0004034	Caust.v2_009854	gene-LOC108629036	gene-LOC117226586	gene-LOC106787062	gene-LOC107063785	Lflavo2a006515
OG0004035	Caust.v2_009532	gene-LOC108623489	gene-LOC117229475	gene-LOC106784636	gene-LOC107065000	Lflavo2a005975
OG0004036	Caust.v2_010695	gene-LOC108629605	gene-LOC117221678	gene-LOC106789451	gene-LOC107073968	Lflavo2a005198
OG0004037	Caust.v2_009532	gene-LOC108630865	gene-LOC117219562	gene-LOC106788942	gene-LOC107068804	Lflavo2a000681
OG0004038	Caust.v2_020901	gene-LOC108629443	gene-LOC117217731	gene-LOC106787756	gene-LOC107073824	Lflavo2a003658
OG0004039	Caust.v2_006413	gene-LOC108626456	gene-LOC117227297	gene-LOC106789892	gene-LOC107065889	Lflavo2a007274
OG0004040	Caust.v2_009792	gene-LOC108629780	gene-LOC117226308	gene-LOC106784173	gene-LOC107068090	Lflavo2a005450
OG0004042	Caust.v2_000067	gene-LOC108622580	gene-LOC117226813	gene-LOC106784057	gene-LOC107069405	Lflavo2a013576
OG0004043	Caust.v2_017792	gene-LOC108622233	gene-LOC117226399	gene-LOC106786722	gene-LOC107068160	Lflavo2a003673
OG0004044	Caust.v2_009683	gene-LOC108632572	gene-LOC117227511	gene-LOC106790839	gene-LOC107066194	Lflavo2a006418
OG0004045	Caust.v2_009532	gene-LOC108623344	gene-LOC117226922	gene-LOC106789014	gene-LOC107071546	Lflavo2a012172
OG0004046	Caust.v2_005373	gene-LOC108627256	gene-LOC117220152	gene-LOC106790499	gene-LOC107072595	Lflavo2a007068
OG0004047	Caust.v2_016392	gene-LOC108632572	gene-LOC117220786	gene-LOC106787707	gene-LOC107066833	Lflavo2a014156
OG0004048	Caust.v2_019642	gene-LOC108631914	gene-LOC117226586	gene-LOC106787932	gene-LOC107072481	Lflavo2a010184
OG0004050	Caust.v2_002761	gene-LOC108631195	gene-LOC117221461	gene-LOC106788129	gene-LOC107073824	Lflavo2a005826
OG0004052	Caust.v2_013676	gene-LOC108627486	gene-LOC117217810	gene-LOC106790344	gene-LOC107069853	Lflavo2a001577
OG0004053	Caust.v2_003689	gene-LOC108624944	gene-LOC117221982	gene-LOC106787940	gene-LOC107070281	Lflavo2a010704
OG0004056	Caust.v2_007573	gene-LOC108623725	gene-LOC117218363	gene-LOC106783603	gene-LOC107065892	Lflavo2a007248
OG0004057	Caust.v2_002683	gene-LOC108629003	gene-LOC117220237	gene-LOC106791495	gene-LOC107073142	Lflavo2a004554
OG0004058	Caust.v2_000372	gene-LOC108625584	gene-LOC117229828	gene-LOC106786514	gene-LOC107069150	Lflavo2a007767
OG0004060	Caust.v2_006161	gene-LOC108626071	gene-LOC117228962	gene-LOC106785557	gene-LOC107069377	Lflavo2a008877
OG0004062	Caust.v2_016430	gene-LOC108632572	gene-LOC117228192	gene-LOC106791923	gene-LOC107068680	Lflavo2a010105
OG0004063	Caust.v2_013161	gene-LOC108625499	gene-LOC117221766	gene-LOC106786774	gene-LOC107066125	Lflavo2a007076
OG0004065	Caust.v2_001437	gene-LOC108630229	gene-LOC117222390	gene-LOC106783849	gene-LOC107066208	Lflavo2a012899
OG0004066	Caust.v2_011661	gene-LOC108631612	gene-LOC117229004	gene-LOC106793107	gene-LOC107073824	Lflavo2a006860
OG0004068	Caust.v2_021314	gene-LOC108623857	gene-LOC117226586	gene-LOC106791733	gene-LOC107069331	Lflavo2a010969
OG0004069	Caust.v2_000034	gene-LOC108626973	gene-LOC117226827	gene-LOC106784173	gene-LOC107065072	Lflavo2a007881
OG0004070	Caust.v2_002403	gene-LOC108630604	gene-LOC117226586	gene-LOC106790197	gene-LOC107072494	Lflavo2a008118
OG0004071	Caust.v2_018347	gene-LOC108629490	gene-LOC117221431	gene-LOC106791103	gene-LOC107073824	Lflavo2a008715
OG0004072	Caust.v2_007887	gene-LOC108628250	gene-LOC117223087	gene-LOC106792293	gene-LOC107074154	Lflavo2a007068
OG0004073	Caust.v2_019429	gene-LOC108624730	gene-LOC117225381	gene-LOC106791120	gene-LOC107072211	Lflavo2a008514
OG0004074	Caust.v2_015186	gene-LOC108632572	gene-LOC117226843	gene-LOC106792004	gene-LOC107072225	Lflavo2a005382
OG0004076	Caust.v2_011704	gene-LOC108627445	gene-LOC117226586	gene-LOC106785505	gene-LOC107069063	Lflavo2a000159
OG0004077	Caust.v2_021904	gene-LOC108624837	gene-LOC117229232	gene-LOC106792637	gene-LOC107073824	Lflavo2a013019
OG0004078	Caust.v2_001889	gene-LOC108632572	gene-LOC117223187	gene-LOC106793043	gene-LOC107074514	Lflavo2a001703
OG0004079	Caust.v2_008575	gene-LOC108625715	gene-LOC117226858	gene-LOC106787258	gene-LOC107070775	Lflavo2a003715
OG0004080	Caust.v2_009532	gene-LOC108624941	gene-LOC117220923	gene-LOC106788259	gene-LOC107068423	Lflavo2a008306
OG0004081	Caust.v2_009820	gene-LOC113464890	gene-LOC117224191	gene-LOC106784173	gene-LOC107065500	Lflavo2a011859
OG0004082	Caust.v2_010575	gene-LOC108622238	gene-LOC117226048	gene-LOC106786738	gene-LOC107068070	Lflavo2a003656
OG0004084	Caust.v2_004840	gene-LOC108622824	gene-LOC117225479	gene-LOC106785609	gene-LOC107065904	Lflavo2a000452
OG0004085	Caust.v2_005852	gene-LOC108624852	gene-LOC117225676	gene-LOC106787816	gene-LOC107064660	Lflavo2a007886
OG0004086	Caust.v2_006141	gene-LOC108629790	gene-LOC117226365	gene-LOC106784173	gene-LOC107071584	Lflavo2a007173
OG0004088	Caust.v2_009532	gene-LOC108633159	gene-LOC117220428	gene-LOC106784660	gene-LOC107065061	Lflavo2a014249
OG0004089	Caust.v2_002429	gene-LOC108630629	gene-LOC117228868	gene-LOC106790041	gene-LOC107072613	Lflavo2a011792
OG0004091	Caust.v2_010925	gene-LOC108622611	gene-LOC117218599	gene-LOC106784513	gene-LOC107065130	Lflavo2a005901
OG0004092	Caust.v2_010927	gene-LOC108626576	gene-LOC117229209	gene-LOC106784515	gene-LOC107065131	Lflavo2a006026
OG0004093	Caust.v2_017754	gene-LOC108631775	gene-LOC117221724	gene-LOC106793291	gene-LOC107067725	Lflavo2a000747
OG0004094	Caust.v2_020628	gene-LOC108632572	gene-LOC117229095	gene-LOC106784754	gene-LOC107064744	Lflavo2a000401
OG0004095	Caust.v2_009661	gene-LOC108623521	gene-LOC117226086	gene-LOC106784173	gene-LOC107068051	Lflavo2a005819
OG0004096	Caust.v2_018479	gene-LOC108632572	gene-LOC117217466	gene-LOC106785201	gene-LOC107065696	Lflavo2a012033
OG0004097	Caust.v2_013754	gene-LOC108632572	gene-LOC117217465	gene-LOC106785198	gene-LOC107065695	Lflavo2a002424
OG0004098	Caust.v2_015361	gene-LOC108630458	gene-LOC117224701	gene-LOC106792749	gene-LOC107067056	Lflavo2a006188
OG0004099	Caust.v2_019590	gene-LOC108629610	gene-LOC117223618	gene-LOC106784173	gene-LOC107069339	Lflavo2a002275
OG0004100	Caust.v2_017432	gene-LOC108629464	gene-LOC117227249	gene-LOC106786188	gene-LOC107065682	Lflavo2a007068
OG0004101	Caust.v2_006974	gene-LOC108630327	gene-LOC117229214	gene-LOC106788496	gene-LOC107073488	Lflavo2a003110
OG0004103	Caust.v2_013691	gene-LOC108632770	gene-LOC117218474	gene-LOC106785695	gene-LOC107070643	Lflavo2a010657
OG0004104	Caust.v2_004265	gene-LOC108621924	gene-LOC117224727	gene-LOC106785471	gene-LOC107072559	Lflavo2a009735
OG0004105	Caust.v2_018233	gene-LOC108632525	gene-LOC117223844	gene-LOC106787648	gene-LOC107071534	Lflavo2a013453
OG0004106	Caust.v2_015030	gene-LOC108626328	gene-LOC117226586	gene-LOC106791474	gene-LOC107071376	Lflavo2a012031
OG0004107	Caust.v2_016486	gene-LOC108622034	gene-LOC117227909	gene-LOC106784446	gene-LOC107072367	Lflavo2a008281
OG0004109	Caust.v2_014424	gene-LOC108623245	gene-LOC117226586	gene-LOC106792489	gene-LOC107074221	Lflavo2a010487
OG0004110	Caust.v2_007146	gene-LOC108632116	gene-LOC117223330	gene-LOC106792797	gene-LOC107073824	Lflavo2a003851
OG0004111	Caust.v2_015880	gene-LOC108627750	gene-LOC117226159	gene-LOC106792197	gene-LOC107067079	Lflavo2a011497
OG0004112	Caust.v2_015875	gene-LOC108627778	gene-LOC117226151	gene-LOC106783904	gene-LOC107070804	Lflavo2a003665
OG0004113	Caust.v2_005172	gene-LOC108627248	gene-LOC117223371	gene-LOC106784173	gene-LOC107072974	Lflavo2a004798
OG0004115	Caust.v2_011230	gene-LOC108632300	gene-LOC117226839	gene-LOC106792315	gene-LOC107071845	Lflavo2a006292
OG0004117	Caust.v2_011240	gene-LOC108626650	gene-LOC117226369	gene-LOC106787251	gene-LOC107065311	Lflavo2a008612
OG0004118	Caust.v2_009921	gene-LOC108632572	gene-LOC117228711	gene-LOC106792052	gene-LOC107064281	Lflavo2a001167
OG0004119	Caust.v2_009944	gene-LOC108622875	gene-LOC117220173	gene-LOC106787138	gene-LOC107064712	Lflavo2a006324
OG0004121	Caust.v2_006854	gene-LOC108632572	gene-LOC117221623	gene-LOC106787549	gene-LOC107069142	Lflavo2a006445
OG0004122	Caust.v2_006862	gene-LOC108625152	gene-LOC117221667	gene-LOC106786370	gene-LOC107065447	Lflavo2a002897
OG0004123	Caust.v2_007924	gene-LOC108622091	gene-LOC117218642	gene-LOC106793361	gene-LOC107070813	Lflavo2a012872
OG0004125	Caust.v2_005368	gene-LOC108632572	gene-LOC117221077	gene-LOC106787713	gene-LOC107066829	Lflavo2a014121
OG0004126	Caust.v2_014338	gene-LOC108630867	gene-LOC117222778	gene-LOC106784173	gene-LOC107071529	Lflavo2a000418
OG0004127	Caust.v2_010344	gene-LOC108623321	gene-LOC117220981	gene-LOC106791024	gene-LOC107073044	Lflavo2a009045
OG0004128	Caust.v2_021636	gene-LOC108628063	gene-LOC117228941	gene-LOC106791264	gene-LOC107069748	Lflavo2a011212
OG0004130	Caust.v2_005279	gene-LOC108631481	gene-LOC117217836	gene-LOC106784980	gene-LOC107074062	Lflavo2a006037
OG0004131	Caust.v2_005270	gene-LOC108627564	gene-LOC117217799	gene-LOC106786597	gene-LOC107073630	Lflavo2a013958
OG0004133	Caust.v2_016030	gene-LOC108628475	gene-LOC117228632	gene-LOC106784173	gene-LOC107072983	Lflavo2a000639
OG0004134	Caust.v2_016027	gene-LOC108632572	gene-LOC117228636	gene-LOC106791724	gene-LOC107073001	Lflavo2a000610
OG0004135	Caust.v2_014617	gene-LOC108632572	gene-LOC117219407	gene-LOC106792298	gene-LOC107073974	Lflavo2a011116
OG0004136	Caust.v2_020201	gene-LOC108623819	gene-LOC117218178	gene-LOC106784033	gene-LOC107072209	Lflavo2a007901
OG0004137	Caust.v2_008696	gene-LOC108626635	gene-LOC117225195	gene-LOC106790210	gene-LOC107070911	Lflavo2a005103
OG0004138	Caust.v2_003307	gene-LOC108629992	gene-LOC117227395	gene-LOC106793346	gene-LOC107068268	Lflavo2a004629
OG0004139	Caust.v2_006347	gene-LOC108625407	gene-LOC117224686	gene-LOC106784173	gene-LOC107067116	Lflavo2a012023
OG0004140	Caust.v2_001220	gene-LOC108629714	gene-LOC117223221	gene-LOC106789999	gene-LOC107074412	Lflavo2a005020
OG0004141	Caust.v2_001238	gene-LOC108624146	gene-LOC117229397	gene-LOC106791584	gene-LOC107073824	Lflavo2a012863
OG0004142	Caust.v2_001239	gene-LOC108624207	gene-LOC117224285	gene-LOC106789711	gene-LOC107068350	Lflavo2a012826
OG0004144	Caust.v2_001306	gene-LOC108624290	gene-LOC117226586	gene-LOC106789258	gene-LOC107073148	Lflavo2a013222
OG0004145	Caust.v2_001381	gene-LOC108626154	gene-LOC117229787	gene-LOC106784614	gene-LOC107065105	Lflavo2a012206
OG0004146	Caust.v2_014519	gene-LOC108627026	gene-LOC117223377	gene-LOC106788641	gene-LOC107068603	Lflavo2a009554
OG0004147	Caust.v2_011275	gene-LOC108625157	gene-LOC117217707	gene-LOC106790483	gene-LOC107065341	Lflavo2a008924
OG0004148	Caust.v2_013783	gene-LOC108625774	gene-LOC117228764	gene-LOC106792431	gene-LOC107073272	Lflavo2a007068
OG0004149	Caust.v2_013737	gene-LOC108623249	gene-LOC117224790	gene-LOC106784173	gene-LOC107069591	Lflavo2a014052
OG0004150	Caust.v2_015404	gene-LOC108632572	gene-LOC117225939	gene-LOC106792840	gene-LOC107070801	Lflavo2a007863
OG0004151	Caust.v2_009784	gene-LOC108627728	gene-LOC117226586	gene-LOC106793420	gene-LOC107064631	Lflavo2a006563
OG0004153	Caust.v2_006800	gene-LOC108627652	gene-LOC117226104	gene-LOC106784173	gene-LOC107066659	Lflavo2a011777
OG0004155	Caust.v2_006812	gene-LOC108627637	gene-LOC117226210	gene-LOC106788529	gene-LOC107064183	Lflavo2a007036
OG0004156	Caust.v2_021391	gene-LOC108632572	gene-LOC117221897	gene-LOC106784496	gene-LOC107071820	Lflavo2a009863
OG0004157	Caust.v2_017417	gene-LOC108629030	gene-LOC117220486	gene-LOC106786515	gene-LOC107069103	Lflavo2a013170
OG0004159	Caust.v2_007462	gene-LOC108630946	gene-LOC117224919	gene-LOC106787670	gene-LOC107063965	Lflavo2a000193
OG0004160	Caust.v2_017742	gene-LOC108627423	gene-LOC117226586	gene-LOC106787874	gene-LOC107073173	Lflavo2a002304
OG0004162	Caust.v2_013989	gene-LOC108623308	gene-LOC117227441	gene-LOC106784173	gene-LOC107065791	Lflavo2a007680
OG0004163	Caust.v2_018537	gene-LOC108629782	gene-LOC117226398	gene-LOC106786726	gene-LOC107073824	Lflavo2a005830
OG0004164	Caust.v2_021132	gene-LOC108632557	gene-LOC117220491	gene-LOC106785082	gene-LOC107063923	Lflavo2a005946
OG0004166	Caust.v2_015486	gene-LOC113464499	gene-LOC117228032	gene-LOC106788550	gene-LOC107071777	Lflavo2a002743
OG0004167	Caust.v2_010863	gene-LOC108623782	gene-LOC117220830	gene-LOC106789976	gene-LOC107067462	Lflavo2a003270
OG0004168	Caust.v2_004199	gene-LOC108622513	gene-LOC117221229	gene-LOC106784173	gene-LOC107066288	Lflavo2a011056
OG0004169	Caust.v2_004202	gene-LOC108628160	gene-LOC117227172	gene-LOC106793473	gene-LOC107064463	Lflavo2a006452
OG0004170	Caust.v2_004251	gene-LOC108632572	gene-LOC117226147	gene-LOC106783961	gene-LOC107068934	Lflavo2a003744
OG0004171	Caust.v2_008287	gene-LOC108631452	gene-LOC117230121	gene-LOC106788488	gene-LOC107065502	Lflavo2a011876
OG0004173	Caust.v2_016014	gene-LOC108622759	gene-LOC117222873	gene-LOC106793602	gene-LOC107070144	Lflavo2a010695
OG0004174	Caust.v2_004935	gene-LOC108631360	gene-LOC117221353	gene-LOC106785439	gene-LOC107073824	Lflavo2a004665
OG0004175	Caust.v2_005000	gene-LOC108632572	gene-LOC117228724	gene-LOC106793682	gene-LOC107070711	Lflavo2a006781
OG0004177	Caust.v2_021685	gene-LOC108625475	gene-LOC117221692	gene-LOC106785018	gene-LOC107074229	Lflavo2a003551
OG0004178	Caust.v2_018723	gene-LOC108625484	gene-LOC117218553	gene-LOC106791691	gene-LOC107073824	Lflavo2a014044
OG0004179	Caust.v2_004011	gene-LOC108631557	gene-LOC117222039	gene-LOC106792853	gene-LOC107064155	Lflavo2a009077
OG0004180	Caust.v2_004035	gene-LOC108632287	gene-LOC117224957	gene-LOC106789011	gene-LOC107071536	Lflavo2a005716
OG0004181	Caust.v2_014476	gene-LOC108622481	gene-LOC117221606	gene-LOC106792459	gene-LOC107072811	Lflavo2a004399
OG0004182	Caust.v2_011136	gene-LOC108622996	gene-LOC117219929	gene-LOC106789510	gene-LOC107071740	Lflavo2a011331
OG0004183	Caust.v2_015574	gene-LOC108623792	gene-LOC117226538	gene-LOC106787210	gene-LOC107068758	Lflavo2a003835
OG0004184	Caust.v2_007431	gene-LOC108632572	gene-LOC117221137	gene-LOC106790576	gene-LOC107070930	Lflavo2a002817
OG0004185	Caust.v2_007433	gene-LOC108632572	gene-LOC117221141	gene-LOC106791439	gene-LOC107068904	Lflavo2a002797
OG0004186	Caust.v2_003311	gene-LOC108632572	gene-LOC117227384	gene-LOC106789792	gene-LOC107070495	Lflavo2a012049
OG0004187	Caust.v2_003372	gene-LOC108632572	gene-LOC117225685	gene-LOC106783841	gene-LOC107072220	Lflavo2a002110
OG0004189	Caust.v2_001741	gene-LOC108626356	gene-LOC117217933	gene-LOC106791355	gene-LOC107071498	Lflavo2a010513
OG0004191	Caust.v2_001919	gene-LOC108628623	gene-LOC117224923	gene-LOC106793374	gene-LOC107068208	Lflavo2a009207
OG0004193	Caust.v2_001918	gene-LOC108632572	gene-LOC117220865	gene-LOC106784912	gene-LOC107066771	Lflavo2a010274
OG0004194	Caust.v2_001965	gene-LOC108628600	gene-LOC117229418	gene-LOC106786978	gene-LOC107072138	Lflavo2a007068
OG0004195	Caust.v2_016432	gene-LOC108630302	gene-LOC117220766	gene-LOC106786600	gene-LOC107074600	Lflavo2a006392
OG0004196	Caust.v2_009539	gene-LOC108625396	gene-LOC117221978	gene-LOC106787751	gene-LOC107068989	Lflavo2a014281
OG0004197	Caust.v2_009536	gene-LOC108630323	gene-LOC117224249	gene-LOC106784299	gene-LOC107073824	Lflavo2a009070
OG0004198	Caust.v2_013662	gene-LOC108622616	gene-LOC117228867	gene-LOC106791685	gene-LOC107067894	Lflavo2a002999
OG0004199	Caust.v2_013666	gene-LOC108626656	gene-LOC117228875	gene-LOC106793899	gene-LOC107071144	Lflavo2a007068
OG0004201	Caust.v2_014371	gene-LOC108629679	gene-LOC117226586	gene-LOC106792420	gene-LOC107071684	Lflavo2a000544
OG0004202	Caust.v2_007657	gene-LOC108627825	gene-LOC117226199	gene-LOC106784196	gene-LOC107064266	Lflavo2a013089
OG0004204	Caust.v2_002240	gene-LOC108628826	gene-LOC117229333	gene-LOC106784173	gene-LOC107067467	Lflavo2a003036
OG0004206	Caust.v2_008374	gene-LOC108631440	gene-LOC117226586	gene-LOC106787450	gene-LOC107073844	Lflavo2a000345
OG0004207	Caust.v2_008379	gene-LOC108632605	gene-LOC117221177	gene-LOC106794027	gene-LOC107066968	Lflavo2a008021
OG0004208	Caust.v2_005057	gene-LOC108632572	gene-LOC117219958	gene-LOC106789591	gene-LOC107074097	Lflavo2a008953
OG0004209	Caust.v2_005022	gene-LOC108632077	gene-LOC117223309	gene-LOC106787530	gene-LOC107069535	Lflavo2a002634
OG0004210	Caust.v2_015378	gene-LOC108628132	gene-LOC117220799	gene-LOC106786199	gene-LOC107069736	Lflavo2a007204
OG0004212	Caust.v2_008907	gene-LOC108623682	gene-LOC117224916	gene-LOC106785356	gene-LOC107069474	Lflavo2a008263
OG0004213	Caust.v2_007285	gene-LOC108622116	gene-LOC117229239	gene-LOC106791034	gene-LOC107072675	Lflavo2a000943
OG0004214	Caust.v2_007010	gene-LOC108621995	gene-LOC117222602	gene-LOC106784173	gene-LOC107072207	Lflavo2a010375
OG0004215	Caust.v2_017555	gene-LOC108624539	gene-LOC117226586	gene-LOC106786319	gene-LOC107065490	Lflavo2a001899
OG0004216	Caust.v2_011544	gene-LOC108624798	gene-LOC117227314	gene-LOC106789060	gene-LOC107066053	Lflavo2a008013
OG0004217	Caust.v2_003562	gene-LOC108632369	gene-LOC117221443	gene-LOC106788871	gene-LOC107070211	Lflavo2a012836
OG0004218	Caust.v2_003584	gene-LOC108632572	gene-LOC117228569	gene-LOC106785086	gene-LOC107063943	Lflavo2a002614
OG0004219	Caust.v2_016847	gene-LOC108632572	gene-LOC117221741	gene-LOC106790875	gene-LOC107074503	Lflavo2a005237
OG0004220	Caust.v2_003569	gene-LOC108632572	gene-LOC117228927	gene-LOC106791739	gene-LOC107071383	Lflavo2a004133
OG0004221	Caust.v2_003573	gene-LOC108632354	gene-LOC117228930	gene-LOC106793232	gene-LOC107067721	Lflavo2a008220
OG0004222	Caust.v2_003590	gene-LOC108632453	gene-LOC117221534	gene-LOC106786872	gene-LOC107063798	Lflavo2a002847
OG0004223	Caust.v2_015606	gene-LOC108629600	gene-LOC117223617	gene-LOC106790541	gene-LOC107069341	Lflavo2a002398
OG0004224	Caust.v2_013756	gene-LOC108632949	gene-LOC117226586	gene-LOC106785911	gene-LOC107072318	Lflavo2a007618
OG0004226	Caust.v2_005735	gene-LOC108632572	gene-LOC117229592	gene-LOC106793285	gene-LOC107067673	Lflavo2a004907
