Geneid	gene_name	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106787051	LOC106787051	1556	32	62	80	181	307	1294	58	83	76
gene-LOC106787086	LOC106787086	309	188	525	434	416	444	450	255	205	229
gene-LOC106787092	LOC106787092	29	7	28	28	25	34	29	3	8	9
gene-LOC106787090	LOC106787090	343	273	591	544	407	522	402	345	309	376
gene-LOC106787091	LOC106787091	42	3	55	53	50	56	63	2	3	5
gene-LOC106787126	LOC106787126	210	210	260	228	256	285	188	146	122	158
gene-LOC106787127	LOC106787127	1375	543	1217	1141	1475	1488	1565	500	630	625
gene-LOC106787114	LOC106787114	5392	4364	3542	5761	6373	6600	2859	4745	4274	4751
gene-LOC106787122	LOC106787122	502	248	545	497	527	612	518	286	262	352
gene-LOC106787121	LOC106787121	377	469	497	450	415	558	396	426	417	415
gene-LOC106787118	LOC106787118	1103	471	1162	1130	1018	1321	1038	557	460	600
gene-LOC106787115	LOC106787115	570	281	537	472	489	709	520	381	265	276
gene-LOC106787117	LOC106787117	1	0	8	0	2	4	2	0	0	0
gene-LOC106787102	LOC106787102	11500	5351	9871	8189	9125	11203	10934	4386	4677	5047
gene-LOC106787107	LOC106787107	2018	1368	1198	1810	1737	2127	2009	957	1391	1582
gene-LOC106787106	LOC106787106	153	153	211	199	197	217	106	163	130	175
gene-LOC106787119	LOC106787119	6309	7962	4150	7589	8312	9296	5091	2663	4381	4023
gene-LOC106787120	LOC106787120	307	230	368	302	296	333	294	261	177	325
gene-LOC106787111	LOC106787111	6270	2450	5396	4379	5578	6796	6700	2240	2337	2922
gene-LOC106787113	LOC106787113	627	356	999	748	526	972	717	340	347	396
gene-LOC106787125	LOC106787125	42	5	40	44	32	40	53	2	11	20
gene-LOC106787124	LOC106787124	346	402	514	332	431	398	335	405	274	338
gene-LOC106787110	LOC106787110	366	225	422	235	334	428	389	174	222	222
gene-LOC106787108	LOC106787108	2676	1312	2098	1607	1880	3025	2003	1052	1054	1107
gene-LOC106787138	LOC106787138	268	87	341	266	372	292	176	79	128	119
gene-LOC106787139	LOC106787139	872	314	681	560	706	897	790	373	329	440
gene-LOC106787136	LOC106787136	655	176	433	338	467	684	564	216	208	308
gene-LOC106787128	LOC106787128	1025	570	855	929	859	1367	777	665	568	734
gene-LOC106787133	LOC106787133	788	318	1051	646	706	828	767	370	375	399
gene-LOC106787132	LOC106787132	605	343	747	629	666	756	597	409	389	493
gene-LOC106787131	LOC106787131	505	208	564	393	464	664	611	209	253	249
gene-LOC106787130	LOC106787130	1715	473	1463	915	1378	1721	1608	510	453	511
gene-LOC106787134	LOC106787134	1737	1305	2103	1751	1824	1888	1577	1243	1135	1237
gene-LOC106787135	LOC106787135	153	66	259	156	133	207	237	66	68	80
gene-LOC106787168	LOC106787168	29	29	41	24	26	25	35	61	43	72
gene-LOC106787169	LOC106787169	17282	7771	16395	15542	18995	19619	15353	8746	9663	9614
gene-LOC106787170	LOC106787170	22	1	10	20	13	13	9	12	8	8
gene-LOC106787151	LOC106787151	224	157	176	228	215	278	207	145	156	151
gene-LOC106787161	LOC106787161	496	315	608	274	334	527	420	265	304	298
gene-LOC106787160	LOC106787160	5635	4079	5199	4749	5773	6712	5557	3317	2950	3396
gene-LOC106787162	LOC106787162	16	3	4	0	2	9	1	2	3	7
gene-LOC106787163	LOC106787163	65	61	189	137	125	118	93	65	47	87
gene-LOC106787164	LOC106787164	315	100	306	216	269	314	339	126	122	177
gene-LOC106787165	LOC106787165	1093	405	1151	919	1089	1097	1299	426	486	539
gene-LOC106787166	LOC106787166	3	0	10	0	1	7	2	0	3	3
gene-LOC106787158	LOC106787158	8	2	4	0	8	8	13	7	0	15
gene-LOC106787167	LOC106787167	512	370	797	530	419	663	566	241	265	288
gene-LOC106787152	LOC106787152	385	194	351	362	473	408	462	165	149	240
gene-LOC106787155	LOC106787155	159	95	140	151	158	155	126	76	56	49
gene-LOC106787153	LOC106787153	9	6	12	11	15	15	16	10	11	13
gene-LOC106787140	LOC106787140	0	0	0	0	0	0	0	0	0	0
gene-LOC106787157	LOC106787157	78648	56274	114668	70661	56546	67646	43891	124508	53742	62625
gene-LOC106787156	LOC106787156	24354	8899	23730	19061	15508	19342	16662	18418	8582	8771
gene-LOC106787159	LOC106787159	0	0	1	0	2	1	6	0	1	0
gene-LOC106787141	LOC106787141	0	0	0	0	0	0	0	0	0	0
gene-LOC106787142	LOC106787142	0	0	0	0	0	0	0	0	0	0
gene-LOC106787143	LOC106787143	0	0	0	0	0	0	0	0	0	0
gene-LOC106787144	LOC106787144	1	0	0	0	0	0	1	0	0	0
gene-LOC106787146	LOC106787146	0	0	0	1	0	0	0	0	0	0
gene-LOC106787147	LOC106787147	1	0	0	0	1	0	0	0	0	0
gene-LOC106787148	LOC106787148	0	0	0	0	0	0	0	0	0	0
gene-LOC106787149	LOC106787149	3	11	6	4	4	5	5	2	6	0
gene-LOC106787171	LOC106787171	1	7	1	6	1	2	6	3	6	5
gene-LOC106787172	LOC106787172	5	0	1	6	2	3	5	5	3	0
gene-LOC106787150	LOC106787150	2	0	0	1	0	2	3	0	0	3
gene-LOC106787181	LOC106787181	6420	3408	9740	5604	6349	7475	7034	2456	2746	2984
gene-Trnas-cga-2	Trnas-cga	0	0	0	0	0	0	0	0	0	0
gene-LOC106787173	LOC106787173	0	1	0	0	0	1	0	0	1	0
gene-LOC106787217	LOC106787217	1865	587	615	820	1748	1328	1520	705	826	882
gene-LOC106787218	LOC106787218	5	3	0	0	24	4	6	46	4	6
gene-LOC106787174	LOC106787174	323	7	2	16	365	87	895	24	49	116
gene-LOC106787205	LOC106787205	6	7	14	4	5	8	13	6	13	12
gene-LOC106787203	LOC106787203	2261	447	813	738	1262	1661	2728	849	532	711
gene-LOC106787225	LOC106787225	375	188	183	222	401	465	202	298	247	211
gene-LOC106787229	LOC106787229	62	30	61	45	46	77	41	38	24	31
gene-LOC106787202	LOC106787202	1565	688	1460	1019	1311	1442	1283	649	605	641
gene-LOC106787177	LOC106787177	446	180	546	382	419	502	479	162	218	236
gene-LOC106787219	LOC106787219	422	156	336	323	345	529	395	202	210	300
gene-LOC106787230	LOC106787230	161	76	220	96	170	193	143	97	88	113
gene-LOC106787176	LOC106787176	1000	422	384	495	792	688	860	487	418	551
gene-LOC106787178	LOC106787178	300	181	277	269	299	335	326	165	179	168
gene-LOC106787189	LOC106787189	2262	1562	2520	2330	2750	2587	2413	1421	1382	1686
gene-LOC106787193	LOC106787193	498	194	261	274	547	335	495	245	274	228
gene-LOC106787195	LOC106787195	12	31	18	15	5	9	6	16	20	33
gene-LOC106787190	LOC106787190	7	81	39	54	26	32	5	137	107	163
gene-LOC106787194	LOC106787194	48	40	54	53	61	57	66	33	39	41
gene-LOC106787191	LOC106787191	3	5	4	4	2	2	4	14	16	7
gene-LOC106787192	LOC106787192	340	249	418	333	297	364	328	230	227	275
gene-LOC106787188	LOC106787188	5728	1987	4119	3686	4449	5857	4354	2001	1453	2275
gene-LOC106787183	LOC106787183	1760	1791	2571	1788	1779	2275	1499	1975	1681	2233
gene-LOC106787206	LOC106787206	988	519	747	618	838	1015	934	451	457	535
gene-LOC106787197	LOC106787197	94	116	161	138	139	180	91	127	192	160
gene-LOC106787196	LOC106787196	3051	2342	4277	3151	3217	3370	2735	2623	2122	2589
gene-LOC106787231	LOC106787231	93	102	166	118	111	203	126	109	73	93
gene-LOC106787200	LOC106787200	1735	1197	1441	2062	2058	2735	1909	1143	1066	1296
gene-LOC106787201	LOC106787201	51	11	118	53	44	47	46	50	34	34
gene-LOC106787228	LOC106787228	165	531	282	327	267	326	161	428	448	592
gene-LOC106787216	LOC106787216	993	783	1405	1310	1235	1326	1184	726	658	861
gene-LOC106787214	LOC106787214	204	30	24	39	88	146	165	49	52	51
gene-LOC106787226	LOC106787226	92	74	130	92	118	102	113	85	79	93
gene-LOC106787227	LOC106787227	267	105	354	276	227	285	327	123	132	146
gene-LOC106787184	LOC106787184	4795	5446	4648	6569	4680	4490	4241	6202	7730	3589
gene-LOC106787187	LOC106787187	72	92	131	107	67	99	78	107	105	72
gene-LOC106787186	LOC106787186	1185	695	830	927	1011	1062	1220	800	1096	626
gene-LOC106787224	LOC106787224	167	69	219	171	190	181	131	78	63	106
gene-LOC106787223	LOC106787223	750	344	778	777	729	847	869	352	317	414
gene-LOC106787221	LOC106787221	69	97	98	97	47	94	93	93	67	90
gene-LOC106787210	LOC106787210	636	293	1058	846	541	884	864	298	257	403
gene-LOC106787209	LOC106787209	236	185	364	351	293	328	199	300	231	270
gene-LOC106787211	LOC106787211	34	18	56	45	32	41	31	26	25	40
gene-LOC106787208	LOC106787208	184	77	239	169	190	194	202	75	82	117
gene-LOC106787213	LOC106787213	6725	4660	6434	9577	5914	7602	5061	2784	3651	4404
gene-LOC106787212	LOC106787212	46	20	55	46	18	40	27	26	33	38
gene-LOC106787180	LOC106787180	17	0	4	10	4	12	10	6	1	0
gene-LOC106787179	LOC106787179	53	21	36	29	25	14	50	14	11	6
gene-LOC106787175	LOC106787175	6	4	18	10	4	9	9	2	3	11
gene-LOC106787220	LOC106787220	2065	1330	1942	1907	2121	2310	1782	1369	1368	1537
gene-LOC106787198	LOC106787198	881	549	772	581	859	950	872	453	549	560
gene-LOC106787199	LOC106787199	556	225	189	345	314	627	590	231	286	336
gene-LOC106787251	LOC106787251	2510	1594	2479	1808	2249	2412	2499	929	1233	1023
gene-LOC106787250	LOC106787250	296	145	383	298	327	360	364	146	112	169
gene-LOC106787248	LOC106787248	5155	1492	2848	2838	4512	4375	4301	2406	1603	2148
gene-LOC106787266	LOC106787266	908	260	944	905	771	1078	671	434	272	449
gene-LOC106787241	LOC106787241	13	16	51	40	36	31	56	24	20	18
gene-LOC106787232	LOC106787232	61	64	79	69	63	76	59	40	68	59
gene-LOC106787276	LOC106787276	128	120	169	193	214	217	105	127	146	164
gene-LOC106787270	LOC106787270	695	395	783	688	772	746	686	451	353	411
gene-LOC106787269	LOC106787269	35	72	101	118	95	81	37	143	106	119
gene-LOC106787252	LOC106787252	348	103	467	372	294	419	379	165	101	145
gene-LOC106787253	LOC106787253	1626	716	2000	1531	1330	1860	1373	683	658	765
gene-LOC106787255	LOC106787255	50	17	37	26	35	28	34	9	9	13
gene-LOC106787254	LOC106787254	331	200	563	331	326	446	281	114	139	137
gene-LOC106787267	LOC106787267	2222	1779	2396	2298	2425	2825	2442	1712	1578	1948
gene-LOC106787262	LOC106787262	6738	4558	7056	6592	6786	7398	6384	3885	4181	4265
gene-LOC106787256	LOC106787256	8192	2911	7639	5639	6720	8125	7849	3146	2991	2931
gene-LOC106787257	LOC106787257	703	342	782	695	711	743	611	379	351	591
gene-LOC106787261	LOC106787261	918	1202	1591	1172	1050	1220	994	722	827	865
gene-LOC106787260	LOC106787260	2184	1360	2698	1858	2236	2713	2210	1034	1315	1215
gene-LOC106787247	LOC106787247	401	212	464	358	483	537	496	174	188	183
gene-LOC106787246	LOC106787246	1235	785	1811	1218	1341	1828	1360	531	607	642
gene-LOC106787245	LOC106787245	535	246	421	370	391	681	275	160	86	148
gene-LOC106787277	LOC106787277	5	5	5	3	0	3	0	0	0	2
gene-LOC106787243	LOC106787243	3	6	6	0	0	6	2	2	2	1
gene-LOC106787244	LOC106787244	0	0	0	1	2	2	2	0	0	0
gene-LOC106787233	LOC106787233	0	1	1	1	1	2	0	0	1	0
gene-LOC106787234	LOC106787234	0	0	0	1	0	1	1	0	0	0
gene-LOC106787235	LOC106787235	2	0	0	1	0	0	0	0	0	1
gene-LOC106787236	LOC106787236	0	0	0	0	0	0	1	0	0	0
gene-LOC106787237	LOC106787237	0	0	0	0	0	0	1	4	0	2
gene-LOC106787238	LOC106787238	0	0	0	1	0	0	1	0	0	1
gene-LOC106787239	LOC106787239	0	0	0	0	1	0	0	0	0	0
gene-LOC106787265	LOC106787265	13	6	7	5	6	12	6	6	1	2
gene-LOC106787240	LOC106787240	3	3	7	2	2	1	12	1	0	1
gene-LOC106787264	LOC106787264	2440	1242	2422	2192	2352	2845	2858	1042	1000	1265
gene-LOC106787263	LOC106787263	68	310	214	139	136	108	78	381	388	541
gene-LOC106787275	LOC106787275	4	4	15	7	5	13	15	6	8	8
gene-LOC106787272	LOC106787272	4	0	0	2	47	91	42	6	8	12
gene-LOC106787274	LOC106787274	637	5	4	16	5843	1672	1620	391	584	369
gene-LOC106787273	LOC106787273	1	0	0	2	1	0	0	0	0	0
gene-LOC106787271	LOC106787271	1	1	4	3	4	1	3	1	2	2
gene-LOC106787293	LOC106787293	582	292	832	569	634	592	687	339	321	430
gene-LOC106787292	LOC106787292	121	311	315	251	267	265	109	311	302	411
gene-LOC106787289	LOC106787289	879	712	1132	874	1180	1108	868	578	680	836
gene-LOC106787286	LOC106787286	975	382	492	558	707	837	688	504	408	434
gene-LOC106787291	LOC106787291	1689	910	1652	1357	1655	1862	1839	967	977	1100
gene-LOC106787282	LOC106787282	709	292	747	713	711	755	762	367	301	389
gene-LOC106787283	LOC106787283	1460	704	1476	1257	1568	1549	1597	762	823	976
gene-LOC106787280	LOC106787280	150	41	204	77	98	114	99	44	41	40
gene-LOC106787295	LOC106787295	167	46	104	124	249	149	118	175	138	177
gene-LOC106787296	LOC106787296	1431	135	56	202	1143	1005	512	438	461	535
gene-LOC106787294	LOC106787294	4514	1900	2172	2716	5006	4460	4264	1718	2236	2605
gene-LOC106787279	LOC106787279	55	15	56	28	31	39	33	23	27	14
gene-LOC106787284	LOC106787284	1439	471	1118	800	1223	1290	1180	691	472	504
gene-LOC106787285	LOC106787285	29	0	9	7	20	16	14	16	1	6
gene-LOC106787290	LOC106787290	1663	865	1906	1485	1364	1919	1778	899	849	944
gene-LOC106787297	LOC106787297	501	509	395	639	579	539	455	620	647	600
gene-LOC106787287	LOC106787287	85	66	66	52	79	84	54	38	79	69
gene-LOC106787288	LOC106787288	3849	2529	3041	3094	4058	4437	3556	1597	2416	2198
gene-LOC106787299	LOC106787299	212	173	190	209	172	206	200	154	157	158
gene-LOC106787278	LOC106787278	17	111	32	34	14	38	7	109	101	147
gene-LOC106787300	LOC106787300	3	215	91	60	35	34	3	204	182	185
gene-LOC106787302	LOC106787302	4	4	4	3	3	3	6	1	2	10
gene-LOC106787330	LOC106787330	363	503	600	572	576	523	384	583	448	574
gene-LOC106787331	LOC106787331	192	130	206	179	220	228	191	174	145	166
gene-LOC106787332	LOC106787332	262	77	339	240	281	324	276	105	76	108
gene-LOC106787342	LOC106787342	269	66	453	237	299	287	417	111	100	112
gene-LOC106787318	LOC106787318	789	532	807	646	729	804	726	610	487	606
gene-LOC106787321	LOC106787321	3807	629	3292	3013	3522	3416	3922	1338	888	1061
gene-LOC106787320	LOC106787320	618	288	645	640	656	637	666	376	386	428
gene-LOC106787319	LOC106787319	967	510	851	762	1009	959	1186	449	523	604
gene-LOC106787334	LOC106787334	909	1004	741	708	1031	1116	1130	556	716	673
gene-LOC106787336	LOC106787336	168	93	184	161	166	208	134	124	101	141
gene-LOC106787337	LOC106787337	214	103	202	179	177	179	191	146	103	159
gene-LOC106787338	LOC106787338	127	146	76	109	144	199	161	97	123	124
gene-LOC106787339	LOC106787339	987	309	160	124	1497	496	1000	294	229	248
gene-LOC106787340	LOC106787340	609	222	439	427	494	589	573	265	325	296
gene-LOC106787329	LOC106787329	1603	807	1476	1359	1467	1740	1254	858	745	911
gene-LOC106787304	LOC106787304	298	353	241	303	347	489	293	220	310	214
gene-LOC106787305	LOC106787305	2696	1299	1663	1893	2379	2701	1472	957	994	1148
gene-LOC106787303	LOC106787303	1248	466	1267	1040	1276	1212	1424	482	448	667
gene-LOC106787307	LOC106787307	16393	6210	21232	12975	14259	16554	16539	6119	5686	6957
gene-LOC106787308	LOC106787308	344	62	171	65	204	183	151	198	127	92
gene-LOC106787341	LOC106787341	251	84	276	219	233	243	207	116	116	130
gene-LOC106787316	LOC106787316	710	231	676	525	633	757	666	274	240	302
gene-LOC106787312	LOC106787312	936	685	1471	1535	1227	1459	1404	732	497	727
gene-LOC106787311	LOC106787311	50	59	55	64	83	153	96	35	116	40
gene-LOC106787315	LOC106787315	194	196	321	261	279	255	212	198	173	232
gene-LOC106787314	LOC106787314	462	425	667	602	514	691	569	464	342	430
gene-LOC106787310	LOC106787310	467	537	616	501	579	665	439	499	458	536
gene-LOC106787313	LOC106787313	139	60	293	159	172	194	218	98	63	86
gene-LOC106787333	LOC106787333	3956	1042	3149	2744	3749	3605	4433	1140	1165	1744
gene-LOC106787301	LOC106787301	12453	3195	5119	5696	11220	10382	10634	4383	5303	5065
gene-LOC106787343	LOC106787343	357	21	148	25	290	194	261	89	53	40
gene-LOC106787322	LOC106787322	2273	657	2841	1735	1608	2365	1948	722	533	653
gene-LOC106787327	LOC106787327	0	0	1	0	0	2	2	0	2	0
gene-LOC106787325	LOC106787325	1	122	95	89	45	27	1	116	148	167
gene-LOC106787326	LOC106787326	760	368	838	645	624	735	746	411	316	525
gene-LOC106787328	LOC106787328	2106	573	1334	1064	1433	1648	1991	750	549	671
gene-LOC106787396	LOC106787396	6	16	25	8	13	9	3	29	12	15
gene-LOC106787394	LOC106787394	1218	577	948	1008	1091	1330	1170	639	637	701
gene-LOC106787387	LOC106787387	5253	2699	7249	11204	5351	6750	5114	1718	2207	3201
gene-LOC106787386	LOC106787386	284	311	301	310	308	314	238	367	307	457
gene-LOC106787421	LOC106787421	47	16	54	53	36	47	41	34	23	22
gene-LOC106787349	LOC106787349	73	46	81	91	103	116	84	72	61	53
gene-LOC106787406	LOC106787406	1200	460	1890	1096	1197	1426	1448	677	531	575
gene-LOC106787376	LOC106787376	930	480	1044	794	855	1037	809	421	432	494
gene-LOC106787378	LOC106787378	37	45	80	53	82	44	74	56	65	57
gene-LOC106787407	LOC106787407	141	99	252	172	111	184	108	99	74	92
gene-LOC106787408	LOC106787408	17	187	206	158	135	117	18	268	200	316
gene-LOC106787404	LOC106787404	2703	809	2449	2204	2542	2606	2302	992	1011	1230
gene-LOC106787411	LOC106787411	4	2	8	4	13	8	8	3	3	6
gene-LOC106787409	LOC106787409	698	286	878	419	639	716	671	267	199	288
gene-LOC106787420	LOC106787420	13	6	35	14	21	33	7	14	16	11
gene-LOC106787385	LOC106787385	232	233	265	238	252	248	251	221	283	272
gene-LOC106787382	LOC106787382	159	151	217	200	200	167	174	125	147	162
gene-LOC106787383	LOC106787383	172	78	212	159	179	207	245	93	78	114
gene-LOC106787381	LOC106787381	177	121	224	156	166	222	227	161	113	144
gene-LOC106787388	LOC106787388	416	241	422	313	474	473	398	237	234	306
gene-LOC106787389	LOC106787389	132	102	200	199	137	178	124	109	96	157
gene-LOC106787390	LOC106787390	9	3	2	2	4	7	1	12	2	5
gene-LOC106787368	LOC106787368	57	9	18	12	58	22	25	52	23	38
gene-LOC106787372	LOC106787372	91	55	194	95	112	103	142	39	52	75
gene-LOC106787369	LOC106787369	177	147	185	202	216	246	134	153	157	142
gene-LOC106787374	LOC106787374	37	48	37	46	57	67	36	49	44	51
gene-LOC106787371	LOC106787371	1764	640	1698	1486	1644	1778	1962	768	616	773
gene-LOC106787373	LOC106787373	77	37	99	59	50	92	47	59	31	22
gene-LOC106787354	LOC106787354	6	1	5	7	7	4	7	2	9	7
gene-LOC106787416	LOC106787416	20	93	62	51	62	51	22	104	83	132
gene-LOC106787364	LOC106787364	3921	1278	4026	3371	3521	4177	4012	1469	1214	1440
gene-LOC106787365	LOC106787365	782	558	1058	840	868	961	754	479	500	521
gene-LOC106787402	LOC106787402	1422	651	1295	1005	1340	1469	1426	595	576	673
gene-LOC106787405	LOC106787405	2168	879	1979	1720	1946	2284	2248	967	908	923
gene-LOC106787418	LOC106787418	249	124	345	275	222	356	206	130	177	156
gene-LOC106787413	LOC106787413	590	245	552	402	506	558	560	289	242	333
gene-LOC106787345	LOC106787345	0	79	34	18	10	5	0	92	66	114
gene-LOC106787363	LOC106787363	11136	5635	11457	8726	11395	10894	11368	4832	5187	5800
gene-LOC106787350	LOC106787350	3260	645	3217	2776	3267	3126	3791	1158	870	1151
gene-LOC106787348	LOC106787348	266	94	273	263	238	268	256	84	160	173
gene-LOC106787415	LOC106787415	329	51	403	233	348	317	360	82	67	84
gene-LOC106787361	LOC106787361	5699	1710	3845	3476	4281	5543	4440	1956	1491	1931
gene-LOC106787362	LOC106787362	90	8	39	37	30	45	40	12	15	19
gene-LOC106787367	LOC106787367	202	73	132	102	132	176	201	68	75	136
gene-LOC106787366	LOC106787366	2	1	2	1	1	1	1	3	0	1
gene-LOC106787346	LOC106787346	738	271	532	448	503	591	659	282	268	353
gene-LOC106787351	LOC106787351	145	25	0	5	181	35	49	45	22	21
gene-LOC106787400	LOC106787400	234	144	409	278	268	281	239	138	125	197
gene-LOC106787401	LOC106787401	152	325	205	226	235	219	80	362	292	342
gene-LOC106787414	LOC106787414	1091	591	1217	934	1211	1102	1348	571	552	751
gene-LOC106787397	LOC106787397	1337	511	1362	1087	1038	1290	1022	513	422	570
gene-LOC106787375	LOC106787375	358	293	450	423	368	365	387	308	293	318
gene-LOC106787419	LOC106787419	117	137	137	124	131	162	109	120	100	125
gene-LOC106787353	LOC106787353	2	0	1	5	1	7	0	0	1	0
gene-LOC106787352	LOC106787352	0	0	0	0	1	0	0	0	0	0
gene-LOC106787379	LOC106787379	807	344	672	620	605	907	690	403	363	493
gene-LOC106787380	LOC106787380	1021	223	900	759	863	941	963	350	314	431
gene-LOC106787412	LOC106787412	858	468	1018	711	926	1021	883	347	496	544
gene-LOC106787392	LOC106787392	393	178	590	377	406	453	389	208	223	233
gene-LOC106787393	LOC106787393	1306	165	126	114	553	234	194	1293	450	670
gene-LOC106787399	LOC106787399	91	64	65	84	100	87	77	92	77	68
gene-LOC106787398	LOC106787398	252	80	23	25	54	151	263	17	88	121
gene-LOC106787356	LOC106787356	1186	452	312	438	800	1022	593	396	323	449
gene-LOC106787359	LOC106787359	743	1196	1065	755	991	1022	765	667	992	853
gene-LOC106787360	LOC106787360	201	272	180	181	225	219	186	159	205	213
gene-LOC106787357	LOC106787357	203	89	318	240	239	259	239	143	122	170
gene-LOC106787358	LOC106787358	1129	785	1035	1006	1157	1212	1087	729	830	925
gene-LOC106787347	LOC106787347	1674	628	1653	1439	1696	1898	1640	702	560	698
gene-LOC106787355	LOC106787355	625	732	1131	971	748	888	705	854	557	879
gene-LOC106787422	LOC106787422	0	0	0	0	0	0	0	0	0	0
gene-LOC106787423	LOC106787423	234	258	252	213	271	324	258	111	94	114
gene-LOC106787424	LOC106787424	15	2	42	14	6	16	19	2	1	10
gene-LOC106787457	LOC106787457	5475	3675	2948	3708	5382	4794	4904	3414	3323	4735
gene-LOC106787458	LOC106787458	3232	1483	2900	2546	3049	3385	3585	1366	1489	1886
gene-LOC106787434	LOC106787434	2910	1331	2192	2476	2523	3145	2744	1631	1708	1994
gene-LOC106787425	LOC106787425	450	269	321	273	543	425	473	175	185	182
gene-LOC106787435	LOC106787435	803	404	516	498	870	910	826	331	354	320
gene-LOC106787431	LOC106787431	6	0	0	0	45	4	14	8	0	3
gene-LOC106787437	LOC106787437	0	0	0	0	0	0	0	0	0	0
gene-LOC106787433	LOC106787433	0	0	0	0	0	0	0	0	0	0
gene-LOC106787466	LOC106787466	294	165	356	294	322	368	341	190	143	186
gene-LOC106787467	LOC106787467	10	4	6	7	5	2	8	16	8	2
gene-LOC106787432	LOC106787432	0	0	0	2	0	0	1	6	0	0
gene-LOC106787444	LOC106787444	798	351	749	572	730	781	907	403	332	428
gene-LOC106787427	LOC106787427	4	3	2	0	1	1	2	0	0	0
gene-LOC106787445	LOC106787445	5398	2438	2184	3845	6552	6631	4960	2309	2947	3812
gene-LOC106787438	LOC106787438	26	74	78	70	77	61	28	89	55	102
gene-LOC106787441	LOC106787441	294	279	527	396	307	387	242	323	269	271
gene-LOC106787440	LOC106787440	167	164	196	172	131	201	137	169	136	128
gene-LOC106787439	LOC106787439	372	101	567	323	351	397	420	139	115	185
gene-LOC106787442	LOC106787442	53	95	95	60	55	61	18	131	95	120
gene-LOC106787443	LOC106787443	1295	555	1144	1043	1173	1237	1493	671	609	705
gene-LOC106787469	LOC106787469	223	176	479	309	327	336	234	313	225	283
gene-LOC106787465	LOC106787465	1431	616	1313	1246	1258	1607	1368	626	537	778
gene-LOC106787468	LOC106787468	329	332	447	372	406	479	430	180	245	221
gene-LOC106787470	LOC106787470	339	122	385	292	295	342	430	209	197	206
gene-LOC106787446	LOC106787446	126140	664	102	302	36224	3342	331	143037	2679	3453
gene-LOC106787455	LOC106787455	3323	910	1211	1224	2510	2630	2322	1183	1107	1440
gene-Trnas-aga-4	Trnas-aga	0	0	1	0	0	0	0	0	0	0
gene-LOC106787453	LOC106787453	440	144	175	275	376	467	361	301	126	229
gene-LOC106787456	LOC106787456	45	18	23	18	23	23	45	10	23	19
gene-LOC106787448	LOC106787448	131	56	168	123	118	135	135	124	51	84
gene-LOC106787449	LOC106787449	248	128	261	235	225	234	217	166	144	175
gene-LOC106787447	LOC106787447	4862	2480	4608	4231	4530	5488	4773	2029	2464	2559
gene-LOC106787450	LOC106787450	2381	565	2375	1662	2038	2026	2540	786	680	841
gene-LOC106787463	LOC106787463	1346	474	1023	818	1028	1319	1049	493	520	568
gene-LOC106787451	LOC106787451	4654	1153	4611	3587	3763	6006	3544	1408	1358	1544
gene-LOC106787452	LOC106787452	2	0	0	1	0	1	0	0	4	0
gene-LOC106787428	LOC106787428	0	0	0	0	0	0	0	0	0	0
gene-LOC106787459	LOC106787459	1094	685	583	795	1101	1123	1023	413	724	503
gene-LOC106787430	LOC106787430	241	113	181	142	199	229	191	115	104	155
gene-LOC106787429	LOC106787429	0	0	0	0	0	1	0	0	0	0
gene-LOC106787460	LOC106787460	6879	645	262	924	3737	3325	2757	1607	884	1591
gene-LOC106787461	LOC106787461	678	255	939	503	596	699	567	186	214	221
gene-LOC106787471	LOC106787471	0	0	0	0	0	0	0	0	0	0
gene-LOC106787473	LOC106787473	0	0	0	0	0	0	0	0	0	0
gene-LOC106787474	LOC106787474	2	0	1	0	3	1	0	0	0	0
gene-LOC106787493	LOC106787493	404	1707	1313	389	1050	782	1049	232	845	439
gene-LOC106787475	LOC106787475	11	44	41	13	21	18	10	11	17	11
gene-LOC106787476	LOC106787476	0	0	0	0	2	4	0	0	0	0
gene-LOC106787481	LOC106787481	19	0	0	0	2	0	0	34	1	5
gene-LOC106787495	LOC106787495	1042	7	0	0	298	16	26	697	40	150
gene-LOC106787489	LOC106787489	1344	474	1343	865	1132	1266	1301	503	445	554
gene-LOC106787482	LOC106787482	0	0	0	0	0	0	0	0	0	0
gene-LOC106787477	LOC106787477	0	0	0	0	0	0	0	0	0	0
gene-LOC106787478	LOC106787478	2	0	0	0	0	0	0	0	0	0
gene-LOC106787479	LOC106787479	0	0	0	0	0	0	0	0	0	1
gene-LOC106787494	LOC106787494	399	149	445	340	382	493	322	142	121	161
gene-LOC106787484	LOC106787484	102	70	148	82	118	103	122	59	64	92
gene-LOC106787483	LOC106787483	23	68	39	21	23	37	23	118	78	135
gene-LOC106787485	LOC106787485	21988	12322	16592	19894	26337	25308	20603	13381	14522	17731
gene-LOC106787486	LOC106787486	214	97	206	192	230	238	203	149	120	167
gene-LOC106787491	LOC106787491	188	57	92	128	151	184	120	122	55	132
